Compound,Station
02360AT510,EPL101
02360AT512,EPL101
02360AT513,EPL101
02360AT514,EPL101
02360AT515,EPL101
02360AT520,EPL101
02360FQTOTAL,EPL101
02360FQY501A,EPL101
02360FQY501B,EPL101
02360FQY502A,EPL101
02360FQY502B,EPL101
02360FQY503A,EPL101
02360FQY503B,EPL101
02PLC,EPL101
210AT510,EPL101
210AT513,EPL101
210AT516,EPL101
210AT520,EPL101
210FQY501,EPL101
210FQY502,EPL101
360AT510,EPL101
360AT512,EPL101
360AT513,EPL101
360AT514,EPL101
360AT515,EPL101
360AT520,EPL101
360FQY501A,EPL101
360FQY501B,EPL101
360FQY502A,EPL101
360FQY502B,EPL101
360FQY503A,EPL101
360FQY503B,EPL101
420AT510,EPL101
420AT512,EPL101
420AT513,EPL101
420FQY501A,EPL101
420FQY501B,EPL101
420FQY502A,EPL101
420FQY502B,EPL101
CENTRIFUGE,EPL101
CL101_010000,EPL101
CL101_011900,EPL101
CL101_011990,EPL101
CL101_012100,EPL101
CL101_013600,EPL101
CL101_017000,EPL101
CL101_019700,EPL101
CL101_019800,EPL101
CL101_021990,EPL101
CL101_023600,EPL101
CL102_010000,EPL101
CL102_012300,EPL101
CL102_014200,EPL101
CL102_014300,EPL101
CL102_014800,EPL101
CL102_015200,EPL101
CL102_015220,EPL101
CL102_015400,EPL101
CL102_015500,EPL101
CL102_015560,EPL101
CL102_015700,EPL101
CL102_017300,EPL101
CL102_027300,EPL101
CL103_012100,EPL101
CL103_013900,EPL101
CL103_014600,EPL101
CL103_015200,EPL101
CL103_015250,EPL101
CL103_016000,EPL101
EFESD_PAKIN,EPL101
EFESD_PAKOUT,EPL101
EFPCS_PAKIN,EPL101
EFPCS_PAKOUT,EPL101
EPF_000005,EPL101
EPF_002305,EPL101
EPF_004005,EPL101
EPF_004205,EPL101
EPF_004305,EPL101
EPF_004605,EPL101
EPF_005405,EPL101
EPF_005505,EPL101
EPF_012105,EPL101
EPF_013309,EPL101
EPF_013315,EPL101
EPF_014101,EPL101
EPF_014105,EPL101
EPF_017300,EPL101
EPF_TOTALIZR,EPL101
HIPS1_011900,EPL101
HIPS2_011900,EPL101
